original_recording_id,example_recording_id,example_category,original_transcript,example_transcript,path_to_original,path_to_example
original_2zvjW9arAZ0/50003,example_exact_recordings_2zvjW9arAZ0/50003,exact_recordings,WHEN YOU'RE 2 3 YEARS OLD AND YOU SAY A WORD WRONG OVER AND OVER NO ONE CORRECTS YOU,WHEN YOU'RE 2 3 YEARS OLD AND YOU SAY A WORD WRONG OVER AND OVER NO ONE CORRECTS YOU,/group/corpora/public/lipreading/LRS3/trainval/2zvjW9arAZ0/50003.m4a,./exact_recordings/2zvjW9arAZ0/50003.m4a
original_3MYEtQ5Zdn8/50002,example_exact_recordings_3MYEtQ5Zdn8/50002,exact_recordings,THEY WENT AND SEARCHED DREYFUS'S APARTMENT LOOKING FOR ANY SIGNS OF ESPIONAGE,THEY WENT AND SEARCHED DREYFUS'S APARTMENT LOOKING FOR ANY SIGNS OF ESPIONAGE,/group/corpora/public/lipreading/LRS3/trainval/3MYEtQ5Zdn8/50002.m4a,./exact_recordings/3MYEtQ5Zdn8/50002.m4a
original_4Lb5LSVEm34/50001,example_exact_recordings_4Lb5LSVEm34/50001,exact_recordings,IT'S QUITE INCREDIBLE,IT'S QUITE INCREDIBLE,/group/corpora/public/lipreading/LRS3/trainval/4Lb5LSVEm34/50001.m4a,./exact_recordings/4Lb5LSVEm34/50001.m4a
original_4Lb5LSVEm34/50002,example_exact_recordings_4Lb5LSVEm34/50002,exact_recordings,I WANT TO TELL YOU A STORY,I WANT TO TELL YOU A STORY,/group/corpora/public/lipreading/LRS3/trainval/4Lb5LSVEm34/50002.m4a,./exact_recordings/4Lb5LSVEm34/50002.m4a
original_4Lb5LSVEm34/50003,example_exact_recordings_4Lb5LSVEm34/50003,exact_recordings,NOT THE FRONT THE SIDES,NOT THE FRONT THE SIDES,/group/corpora/public/lipreading/LRS3/trainval/4Lb5LSVEm34/50003.m4a,./exact_recordings/4Lb5LSVEm34/50003.m4a
original_70uaS1e9YN0/50001,example_exact_recordings_70uaS1e9YN0/50001,exact_recordings,WHY DO I HAVE CANCER,WHY DO I HAVE CANCER,/group/corpora/public/lipreading/LRS3/trainval/70uaS1e9YN0/50001.m4a,./exact_recordings/70uaS1e9YN0/50001.m4a
original_70uaS1e9YN0/50003,example_exact_recordings_70uaS1e9YN0/50003,exact_recordings,WHY IS THAT,WHY IS THAT,/group/corpora/public/lipreading/LRS3/trainval/70uaS1e9YN0/50003.m4a,./exact_recordings/70uaS1e9YN0/50003.m4a
original_70uaS1e9YN0/50008,example_exact_recordings_70uaS1e9YN0/50008,exact_recordings,THE ONLY PROBLEM WAS THERE'S NO MOUSE MODEL OF THIS RARE CANCER,THE ONLY PROBLEM WAS THERE'S NO MOUSE MODEL OF THIS RARE CANCER,/group/corpora/public/lipreading/LRS3/trainval/70uaS1e9YN0/50008.m4a,./exact_recordings/70uaS1e9YN0/50008.m4a
original_7jRND5IU3Qg/50001,example_exact_recordings_7jRND5IU3Qg/50001,exact_recordings,WE HAVE BIG STRESSORS,WE HAVE BIG STRESSORS,/group/corpora/public/lipreading/LRS3/trainval/7jRND5IU3Qg/50001.m4a,./exact_recordings/7jRND5IU3Qg/50001.m4a
original_7jRND5IU3Qg/50003,example_exact_recordings_7jRND5IU3Qg/50003,exact_recordings,WE LIVE IN SURVIVAL MODE,WE LIVE IN SURVIVAL MODE,/group/corpora/public/lipreading/LRS3/trainval/7jRND5IU3Qg/50003.m4a,./exact_recordings/7jRND5IU3Qg/50003.m4a
original_A3Vpjwye9Mw/50001,example_exact_recordings_A3Vpjwye9Mw/50001,exact_recordings,BUT VIDEO GAMES I WAS INSTANTLY CAPTIVATED BY,BUT VIDEO GAMES I WAS INSTANTLY CAPTIVATED BY,/group/corpora/public/lipreading/LRS3/trainval/A3Vpjwye9Mw/50001.m4a,./exact_recordings/A3Vpjwye9Mw/50001.m4a
original_FIrgjCNcDBI/50002,example_exact_recordings_FIrgjCNcDBI/50002,exact_recordings,IT CARRIES A VARIETY OF SENSORS AND THE PHOTO QUALITY OF SOME OF THESE SENSORS CAN BE AS HIGH AS,IT CARRIES A VARIETY OF SENSORS AND THE PHOTO QUALITY OF SOME OF THESE SENSORS CAN BE AS HIGH AS,/group/corpora/public/lipreading/LRS3/trainval/FIrgjCNcDBI/50002.m4a,./exact_recordings/FIrgjCNcDBI/50002.m4a
original_KoXdjyJyxbE/50001,example_exact_recordings_KoXdjyJyxbE/50001,exact_recordings,WHERE DO THESE IMPRESSIONS OF TODAY'S YOUNG PEOPLE COME FROM,WHERE DO THESE IMPRESSIONS OF TODAY'S YOUNG PEOPLE COME FROM,/group/corpora/public/lipreading/LRS3/trainval/KoXdjyJyxbE/50001.m4a,./exact_recordings/KoXdjyJyxbE/50001.m4a
original_acikxzM6GaY/50001,example_exact_recordings_acikxzM6GaY/50001,exact_recordings,WHEN OUR GOVERNMENTS FRAME SLUMS AS THREATS IN ORDER TO JUSTIFY VIOLENT LAND GRABS OR FORCED EVICTIONS THEY'RE COUNTING ON THOSE,WHEN OUR GOVERNMENTS FRAME SLUMS AS THREATS IN ORDER TO JUSTIFY VIOLENT LAND GRABS OR FORCED EVICTIONS THEY'RE COUNTING ON THOSE,/group/corpora/public/lipreading/LRS3/trainval/acikxzM6GaY/50001.m4a,./exact_recordings/acikxzM6GaY/50001.m4a
